FLAIR_NC_Intensity_MedianAbsoluteDeviation,FLAIR_NC_Intensity_Mode,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-2_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Mode,FLAIR_NC_GLCM_Bins-16_Radius-1_Contrast,FLAIR_NC_NGTDM_Complexity,T1_NC_Intensity_MeanAbsoluteDeviation,T1_NC_Intensity_Range,T1_NC_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1_NC_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T1_NC_Histogram_Bins-16_Bins-16_Kurtosis,T1_NC_Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,T1_NC_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_NC_GLSZM_Bins-16_Radius-1_ZoneSizeMean,T1_NC_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T1_NC_NGTDM_Complexity,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-10_Frequency,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-15_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-1_Frequency,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-1_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-5_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1GD_NC_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,T1GD_NC_GLCM_Bins-16_Radius-1_Contrast,T1GD_NC_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,T1GD_NC_GLSZM_Bins-16_Radius-1_SmallZoneHighGreyLevelEmphasis,T1GD_NC_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T2_NC_Intensity_Maximum,T2_NC_Intensity_NinetiethPercentile,T2_NC_Intensity_RootMeanSquare,T2_NC_Histogram_Bins-16_Bins-16_Bin-10_Probability,T2_NC_Histogram_Bins-16_Bins-16_InterQuartileRange,T2_NC_Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,T2_NC_Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,T2_NC_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis
4.189628954,139,186,5,3.004917499,754.9486731,-3.0401201970000005e-14,97,8,12,3.035071834,1.301624394e-13,0.3670924574,5.434710744,0.372235503,790.7016512,54,0.0004562043796,1835,0.2790450122,0.1281934307,1.270377129,90.0443038,2.749464558,0.6593476878,37.48235271,0.4024730947,255,210,162.8045079,0.08591849148,4,3.4567644770000004e-14,0.25,0.4700789516
6.172227674,128,22,7,6.414292198,922.662282,-2.727744974e-13,112,2,5,6.616066692,2.5604641080000003e-14,0.7448478901,13.49668874,0.2995044077,705.9556632,58,0.002453385672,40,0.01962708538,0.09421000981,0.3056918548,91.19191919,8.749609158,0.6708378194,66.32907539,0.4163205442,197,177,141.2712332,0.1099116781,5,8.743022662000001e-14,0.2380952381,0.4375743051
-6.805194805,155,13,10,2.31814694,1125.454552,1.3054947870000001e-14,102,24,1,4.023358056,4.114396983e-14,-0.2453861928,4.734627832,0.3054324944,685.5485071,224,0.006835269993,3,0.002050580998,0.04989747095,-0.2959671907,114.972973,6.81200844,0.6180448562,74.0263857,0.3554786444,189,164,135.436824,0.1141490089,4,-3.208248583e-14,0.2222222222,0.5088678099
5.449295775,137,46,4,3.735150623,713.2681191,4.451400125e-14,89,19,5,3.165334761,-2.9259849630000003e-14,1.668309859,5.892116183,0.4462560906,594.8090633,25,0.0007042253521,326,0.2295774648,0.04788732394,1.58943662,73.53571429,2.543793077,0.6549289389,47.2749151,0.3971570248,250,238,201.9998431,0.03309859155,5,6.718256624e-14,0.2173913043,0.5682157286
0.5500287286,140,21,9,1.589911848,1127.150678,8.231564399e-13,209,29,11,4.267537945,-7.94162587e-14,-0.007141098252,15.38257576,0.3317614274,782.4668914,16,0.0001641631782,3,0.0002462447673,0.2873676434,0.3087909382,88.49822695,1.08102263,0.648086129,37.78833076,0.3884992006,180,137,115.6896298,0.2336042026,3,2.062650214e-13,0.1578947368,0.5232363533
1.366798901,156,104,7,3.646598328,800.4501777,-1.7610705220000003e-14,88,9,7,2.997338575,-6.3660466040000005e-15,0.02868477266,13.00396825,0.3554421769,731.2311164,56,0.0006103143119,87,0.02654867257,0.1455599634,-0.04516325908,66.64383562,5.277096688,0.6223219221,52.41878918,0.3589834904,227,204,156.8302117,0.04302715899,6,7.94205511e-14,0.4285714286,0.5025849593
-1.556970843,159,19,9,2.722351949,1078.122787,7.035568046e-14,139,20,3,3.291796174,-2.018297737e-13,0.4804458155,15.46,0.2835076923,817.4424683,405,0.0003980495572,29,0.002885859289,0.2092745547,0.1286695194,87.42973523,4.403155957,0.609422189,55.28632407,0.3459359124,237,182,142.7861884,0.1087670415,4,3.735652448e-13,0.2857142857,0.4502935609
0.9751491054,169,47,5,4.134232792,714.9192826,-3.5823784850000004e-14,90,2,3,3.168174212,-3.9784389610000005e-14,-0.1411530815,4.813397129,0.2930106911,976.4488343,2,0.0009940357853,72,0.07157057654,0.1232604374,0.6441351889,80.06,4.308712554,0.6150225605,28.03629469,0.3517908386,136,105,91.92045355,0.01093439364,3,6.8370314930000005e-15,0.3333333333,0.5058757041
-0.6431244153,176,5,10,2.788706652,1430.674831,5.839876966e-14,96,3,8,3.715499823,-5.594028514e-14,0.0944808232,8.908333333,0.3803125,1083.773468,75,0.000935453695,160,0.0374181478,0.1148269411,0.31898971,100.4975369,4.739743158,0.6303629164,49.07734601,0.3698247295,215,177,148.2338241,0.1803086997,3,1.640612602e-13,0.1764705882,0.5118037274
1.879858657,173,6,6,4.44295952,749.2195722,1.021875949e-14,85,8,2,6.432444313,-1.3081016440000001e-14,1.035335689,4.879310345,0.4188466112,594.7410308,7,0.001766784452,164,0.2897526502,0.05123674912,1.213780919,89.30769231,7.070114275,0.6945931458,48.10253131,0.4467869793,239,224,193.3502287,0.09010600707,4,-1.001789935e-14,0.1818181818,0.5757445479
4.057279236,151,69,9,3.104117318,1218.950192,1.249096822e-13,136,12,4,3.264599509,-2.9048521740000004e-14,0.1818615752,11.95435093,0.2996676848,900.877976,718,0.0002386634845,17,0.002028639618,0.1791169451,0.02219570406,75.68407311,3.993619883,0.6045816648,63.71882479,0.3392622598,255,217,161.8424843,0.08782816229,4,2.62789101e-13,0.2222222222,0.452301362
1.127995324,146,13,8,2.930877312,1129.53419,-1.699876251e-14,123,11,1,3.498153203,-7.258526961000001e-14,0.03506721216,13.19537275,0.4095994607,747.4862753,19,0.0001948178453,581,0.1131891681,0.1819598675,0.01987142022,80.73542601,2.791257016,0.6708027192,43.44234943,0.4162682531,176,134,112.6014351,0.1496201052,3,5.821937732000001e-14,0.1764705882,0.5828982353
-0.9035020484,188,17,10,1.314060721,1483.9339,2.835295947e-12,173,17,14,2.902902212,4.642871407e-13,0.3658517246,31.68760469,0.2721269665,754.3974686,1226,0.0001057222149,343,0.009065679926,0.1755781684,0.187683362,80.84368308,3.97620763,0.6212253363,54.01022082,0.3593810007,255,221,173.4082078,0.1065151315,5,-5.149045074e-13,0.2941176471,0.4280052694
-0.7926458391,159,75,8,2.296044551,957.0042488,4.64708111e-13,110,8,9,3.295672246,-1.3131977e-13,-0.2887752281,8.576170717,0.3088891692,867.0237215,1867,0.0003455902682,64,0.004423555433,0.1294581145,0.293820846,75.52808989,5.808346458,0.6004519406,61.5652363,0.3349184104,196,163,136.6445387,0.1112800664,4,-6.270063263e-13,0.25,0.506800831
0.7386210005,141,18,8,2.526192075,949.3864768,2.20303471e-14,192,1,3,5.348210604,-4.530150227e-14,-0.09148264984,10.08636364,0.3795867769,824.2827444,8,0.000901306895,55,0.02478593961,0.1604326273,-0.03830554304,89.61403509,1.988199175,0.7086678346,40.30682637,0.4653901428,197,163,134.6479746,0.1347453808,4,-1.5040995340000002e-14,0.2222222222,0.5824089593
-4.22353198,221,5,13,2.128204107,1961.814202,3.6518267130000006e-14,101,2,2,4.342980059,5.902227699e-14,-0.1427635887,14.49683544,0.3836324307,1045.445641,28,0.0002182929491,194,0.04234883213,0.04562322637,0.296005239,75.97154472,2.424923818,0.703530477,43.8323569,0.4578656311,200,182,156.2598803,0.1259550317,3,1.3650532590000001e-14,0.1304347826,0.5544519841
8.514285714,139,7,3,4.727272727,685.3955834,-1.065814104e-14,71,1,2,2.436526845,4.593151256e-15,-0.02857142857,2.1875,0.48046875,765.060724,11,0.02142857143,11,0.07857142857,0.09285714286,0.2214285714,79.16666667,12.99220779,0.6828047135,59.08328959,0.434152489,202,178,153.2324565,0.1857142857,3,3.844543731e-15,0.1764705882,0.6311311558
0.3777359038,163,18,8,1.24149959,1120.919624,4.5227142e-13,145,4,2,3.256797268,-6.164336729000001e-14,-0.07138715756,14.03662258,0.3126507701,921.1423473,0,0.0001449485433,2409,0.1745905204,0.1097260473,-0.1354544137,78.20792079,1.332973684,0.6188956733,22.20105203,0.354808135,220,171,137.4273085,0.09711552399,4,-5.36106245e-14,0.2857142857,0.4942681464
4.122356768,130,192,5,2.936830783,752.0770189,-2.0588145920000003e-14,110,2,4,3.096891091,-8.755355619000001e-14,-0.06000361468,15.58591549,0.2776829994,881.5743578,159,0.001265136454,75,0.01355503344,0.1969998193,0.3343574914,84.07114625,4.028895517,0.6529797034,68.88571971,0.395089267,201,158,128.5461764,0.0328935478,3,9.204822377e-14,0.2727272727,0.4809660662
