FLAIR_ED_Intensity_Variance,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-2_Frequency,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-5_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-7_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-8_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,FLAIR_ED_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,FLAIR_ED_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T1_ED_Intensity_Maximum,T1_ED_Intensity_MedianAbsoluteDeviation,T1_ED_Histogram_Bins-16_Bins-16_Bin-1_Probability,T1_ED_Histogram_Bins-16_Bins-16_Bin-2_Frequency,T1_ED_Histogram_Bins-16_Bins-16_Bin-3_Frequency,T1_ED_Histogram_Bins-16_Bins-16_InterQuartileRange,T1_ED_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_ED_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,T1_ED_GLSZM_Bins-16_Radius-1_LargeZoneHighGreyLevelEmphasis,T1_ED_NGTDM_Complexity,T1GD_ED_Intensity_MeanAbsoluteDeviation,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-0_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-15_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-4_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_CoefficientOfVariation,T1GD_ED_Histogram_Bins-16_Bins-16_Mode,T1GD_ED_Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,T1GD_ED_GLCM_Bins-16_Radius-1_ClusterProminence,T1GD_ED_GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,T2_ED_Intensity_MeanAbsoluteDeviation,T2_ED_Intensity_Mode,T2_ED_Intensity_Range,T2_ED_Histogram_Bins-16_Bins-16_Bin-8_Probability,T2_ED_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T2_ED_GLCM_Bins-16_Radius-1_Homogeneity,T2_ED_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T2_ED_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity
582.4621145,238,0.06185408687,0.1307364313,0.1513424153,142.4926609,0.5076380827,0.2463220382,229,0.102623401,0.002204235022,2377,6297,2,0.05631639806,257.5959154,29709773.88,819.3725516,-3.945007651e-12,216,0.00195129002,1,9.03375009e-06,0.05277516803,0.3538808666,2,0.2,17.48280337,5.07408906,-9.514658147e-12,112,164,0.1070138036,-0.2476783262,0.6128688554,0.9960097176,258.9154711
750.3541287,68,0.08173801459,0.1467345081,0.1704143601,187.2551385,0.5710752663,0.3060236226,209,-0.1715334457,0.0009698742148,338,713,3,0.2901565228,225.3202934,19972294.7,1079.499788,-8.765545856e-13,333,0.004968740208,1,1.492114177e-05,0.19093093,0.355140809,3,0.3333333333,94.09818291,5.30144936,1.793037137e-12,131,219,0.05823721631,0.3111804115,0.703586142,0.9808207473,146.2323944
1289.47006,1,0.007257144832,0.08034696064,0.1152503715,234.4372256,0.5505935503,0.2841515558,221,-0.2868645679,0.0,0,0,1,-0.4558178111,99.2796748,42404886.38,773.7674651,-6.351957891e-13,43,0.001485986799,4,0.0001382313301,0.5772194768,0.1960528621,4,0.1428571429,47.07579777,4.791872468,-4.166913135e-13,108,166,0.1196046584,0.1039154024,0.6705269558,0.9824251077,82.2833638
303.6379454,11,0.003917873438,0.08981352906,0.2635389804,153.2222222,0.5893565389,0.3245948753,151,0.423973418,0.0,0,0,2,0.2603154136,63.40875912,15345502.09,980.0571213,-2.89535241e-13,72,0.003570720095,4,0.0001983733386,0.4071612775,0.2286364468,4,0.1111111111,55.05140143,5.453979387,3.014866234e-13,86,168,0.2566951002,0.06129736163,0.7734035872,0.9340656733,59.4380531
813.8964316,171,0.03953435634,0.09079379478,0.1237936856,232.752513,0.5879067352,0.3229524618,220,2.260647903,0.0007979103149,1077,5076,3,0.5498777937,208.3617939,42864670.25,848.9237895,-4.647890628e-12,11,9.238961541e-05,3,2.519716784e-05,0.2435726224,0.2544873895,5,0.2,84.20244427,5.501683602,-4.813140497e-12,133,178,0.1248435676,-0.2149906351,0.7127383677,0.9922951094,90.45744681
385.4342798,449,0.2592296477,0.1129897004,0.06555989277,147.6083948,0.5876884608,0.3223469799,212,2.136692847,0.0001646051827,132,851,4,0.001599021775,153.8422235,6408954.473,985.7198129,5.548118048e-13,21,0.0004938155481,1,2.35150261e-05,0.2196303438,0.3683300382,3,0.25,104.8740617,5.509310919,3.104731906e-12,67,130,0.03416733293,0.5980341438,0.717930805,0.9884568116,112.8981818
154.4682448,0,0.0008298324776,0.004097297858,0.009802396141,157.024911,0.581118852,0.3197391324,197,4.369949691,0.0,0,4,2,0.2973912141,80.85407725,6473208.742,853.4357863,1.111397773e-12,1,5.186452985e-05,2,0.0001037290597,0.007935273067,0.159706002,7,0.07692307692,36.82631671,5.101513726,-4.980218763e-13,72,162,0.1227114776,-0.4164203101,0.7712413779,0.9016670876,53.29894737
273.0265981,8,0.0003393445802,0.02142718635,0.09084739189,161.1713437,0.5996630935,0.3367791292,217,0.8117413225,9.695559434e-06,0,2,2,0.1314330037,200.7370948,129513850.7,1151.231166,-6.829395214e-13,6,5.81733566e-05,4,3.878223774e-05,0.4023851076,0.1982057382,4,0.1111111111,30.29426888,5.112757936,3.180005424e-12,136,203,0.1356990498,0.07884428932,0.7335932818,0.9751357093,140.9405128
670.6152131,20,0.2308640526,0.122270486,0.07466541442,170.4389313,0.5674541288,0.3023481833,199,1.892169523,5.869922517e-05,1,39,2,0.4276825546,76.86350975,4117100.813,987.6872796,7.857006898e-13,4,0.0002347969007,3,0.0001760976755,0.1355952101,0.2286909629,5,0.09090909091,133.1469551,5.401481174,-8.552205147000001e-14,82,119,0.04930734914,1.119805119,0.6376470631,0.9970298779,51.88636364
1041.276422,28,0.02358459404,0.09824932285,0.10932153,212.0414747,0.5377367293,0.2739453354,255,2.31871573,0.0,0,9,2,0.3059787276,137.750197,82112360.76,984.8172553,-6.615630258e-13,214,0.002827508753,1,1.321265773e-05,0.4308911938,0.2463614019,4,0.25,49.05352345,5.696464559,-7.422412127e-12,148,224,0.120710841,-0.3905133118,0.7129439335,0.9647147205,93.78580482
